"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\resources\static\css\admin-saas.css", "PostCSS", 0, 0, 374, 0, 63, 437
"f:\Coding\studentmanagement\src\main\resources\static\css\admin-students-unified.css", "PostCSS", 0, 0, 382, 0, 64, 446
"f:\Coding\studentmanagement\src\main\resources\static\css\ai-insights.css", "PostCSS", 0, 0, 61, 0, 6, 67
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 93, 1, 18, 112
"f:\Coding\studentmanagement\src\main\resources\static\css\theme-system.css", "PostCSS", 0, 0, 119, 0, 11, 130
"f:\Coding\studentmanagement\src\main\resources\static\js\admin-students-saas.js", "JavaScript", 0, 17, 0, 0, 0, 17
"f:\Coding\studentmanagement\src\main\resources\static\js\ai-insights.js", "JavaScript", 0, 34, 0, 0, 8, 42
"f:\Coding\studentmanagement\src\main\resources\static\js\theme-manager.js", "JavaScript", 0, 117, 0, 0, 18, 135
"f:\Coding\studentmanagement\src\main\resources\templates\admin-students.html", "HTML", -31, 0, 0, 0, -1, -32
"f:\Coding\studentmanagement\src\main\resources\templates\ai-insights.html", "HTML", 19, 0, 0, 0, 3, 22
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 110, 0, 0, 0, 17, 127
"f:\Coding\studentmanagement\target\classes\static\css\admin-saas.css", "PostCSS", 0, 0, 374, 0, 63, 437
"f:\Coding\studentmanagement\target\classes\static\css\admin-students-unified.css", "PostCSS", 0, 0, 382, 0, 64, 446
"f:\Coding\studentmanagement\target\classes\static\css\ai-insights.css", "PostCSS", 0, 0, 61, 0, 6, 67
"f:\Coding\studentmanagement\target\classes\static\css\dashboard.css", "PostCSS", 0, 0, 93, 1, 18, 112
"f:\Coding\studentmanagement\target\classes\static\css\theme-system.css", "PostCSS", 0, 0, 119, 0, 11, 130
"f:\Coding\studentmanagement\target\classes\static\js\admin-students-saas.js", "JavaScript", 0, 17, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\static\js\ai-insights.js", "JavaScript", 0, 34, 0, 0, 8, 42
"f:\Coding\studentmanagement\target\classes\static\js\theme-manager.js", "JavaScript", 0, 117, 0, 0, 18, 135
"f:\Coding\studentmanagement\target\classes\templates\admin-students.html", "HTML", -31, 0, 0, 0, -1, -32
"f:\Coding\studentmanagement\target\classes\templates\ai-insights.html", "HTML", 19, 0, 0, 0, 3, 22
"f:\Coding\studentmanagement\target\classes\templates\student-profile.html", "HTML", 110, 0, 0, 0, 17, 127
"Total", "-", 196, 336, 2058, 2, 414, 3006
