"filename", "language", "XML", "Java", "PowerShell", "Properties", "Batch", "HTML", "Java Properties", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ClassDTO.java", "Java", 0, 53, 0, 0, 0, 0, 0, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CourseProgressDto.java", "Java", 0, 45, 0, 0, 0, 0, 0, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateSubjectRequest.java", "Java", 0, 29, 0, 0, 0, 0, 0, 0, 0, 12, 41
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateTaskRequest.java", "Java", 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 53
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardDTO.java", "Java", 0, 67, 0, 0, 0, 0, 0, 0, 0, 22, 89
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardResponse.java", "Java", 0, 60, 0, 0, 0, 0, 0, 0, 0, 20, 80
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\EnrollStudentRequest.java", "Java", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ScheduleClassRequest.java", "Java", 0, 46, 0, 0, 0, 0, 0, 0, 0, 19, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\StudentProgressViewDto.java", "Java", 0, 24, 0, 0, 0, 0, 0, 0, 0, 9, 33
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\SubjectDTO.java", "Java", 0, 45, 0, 0, 0, 0, 0, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\TaskDto.java", "Java", 0, 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\UpcomingClassDto.java", "Java", 0, 53, 0, 0, 0, 0, 0, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\DigitalIDCardDTO.java", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 4, 3, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\VerificationResponseDTO.java", "Java", 0, 14, 0, 0, 0, 0, 0, 0, 4, 3, 21
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\student\StudentProfileDTO.java", "Java", 0, 101, 0, 0, 0, 0, 0, 0, 0, 34, 135
