"filename", "language", "HTML", "JavaScript", "Java", "MS SQL", "JSON", "Markdown", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\GenerateAttendanceQRRequest.class", "Java", 0, 0, -8, 0, 0, 0, 0, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest$StudentAttendanceRecord.class", "Java", 0, 0, -8, 0, 0, 0, 0, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\MarkAttendanceRequest.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginRequest.class", "Java", 0, 0, -6, 0, 0, 0, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginResponse.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\AssignTeacherRequest.class", "Java", 0, 0, -6, 0, 0, 0, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ClassDTO.class", "Java", 0, 0, -7, 0, 0, 0, 0, 0, 0, -7
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CourseProgressDto.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateSubjectRequest.class", "Java", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateTaskRequest.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardDTO.class", "Java", 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class", "Java", 0, 0, -6, 0, 0, 0, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\EnrollStudentRequest.class", "Java", 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ScheduleClassRequest.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\SubjectDTO.class", "Java", 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\TaskDto.class", "Java", 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class", "Java", 0, 0, -7, 0, 0, 0, 0, 0, 0, -7
