"filename", "language", "HTML", "JavaScript", "PostCSS", "Java", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\StudentManagementApplication.java", "Java", 0, 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminApiController.java", "Java", 0, 0, 0, 148, 0, 20, 168
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AnalyticsApiController.java", "Java", 0, 0, 0, 53, 0, 9, 62
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AnalyticsController.java", "Java", 0, 0, 0, 38, 0, 7, 45
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\StudentRepository.java", "Java", 0, 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AiAnalyticsService.java", "Java", 0, 0, 0, 640, 0, 104, 744
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AnalyticsRealtimeNotifier.java", "Java", 0, 0, 0, 38, 0, 9, 47
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AttendanceService.java", "Java", 0, 0, 0, 7, 0, 1, 8
"f:\Coding\studentmanagement\src\main\java\com\sms\service\StudentService.java", "Java", 0, 0, 0, 62, 0, 11, 73
"f:\Coding\studentmanagement\src\main\resources\static\css\admin-saas.css", "PostCSS", 0, 0, 561, 0, 0, 93, 654
"f:\Coding\studentmanagement\src\main\resources\static\css\ai-insights.css", "PostCSS", 0, 0, 362, 0, 0, 62, 424
"f:\Coding\studentmanagement\src\main\resources\static\js\admin-students-saas.js", "JavaScript", 0, 507, 0, 0, 0, 68, 575
"f:\Coding\studentmanagement\src\main\resources\static\js\ai-insights.js", "JavaScript", 0, 521, 0, 0, 1, 80, 602
"f:\Coding\studentmanagement\src\main\resources\templates\admin-dashboard.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\admin-students.html", "HTML", 116, 0, 0, 0, 0, 14, 130
"f:\Coding\studentmanagement\src\main\resources\templates\ai-insights.html", "HTML", 169, 0, 0, 0, 0, 14, 183
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 152, 0, 0, 0, 0, 15, 167
"f:\Coding\studentmanagement\target\classes\com\sms\StudentManagementApplication.class", "Java", 0, 0, 0, -9, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class", "Java", 0, 0, 0, -118, -30, 0, -148
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 0, 0, -28, 0, 0, -28
"f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class", "Java", 0, 0, 0, -22, -42, 0, -64
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", 0, 0, 0, -11, 0, 0, -11
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 0, 0, -31, 0, 0, -31
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 0, 0, -30, 0, 0, -30
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminStudentProfileApiController.class", "Java", 0, 0, 0, -2, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AnalyticsApiController.class", "Java", 0, 0, 0, 26, 0, 0, 26
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AnalyticsController.class", "Java", 0, 0, 0, 22, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class", "Java", 0, 0, 0, -15, 0, 0, -15
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiExceptionHandler.class", "Java", 0, 0, 0, -34, 0, 0, -34
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AttendanceViewController.class", "Java", 0, 0, 0, -5, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AuthController.class", "Java", 0, 0, 0, -24, 0, 0, -24
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 0, 0, -18, 0, 0, -18
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DigitalIDApi.class", "Java", 0, 0, 0, -74, 0, -1, -75
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentAttendanceController.class", "Java", 0, 0, 0, -188, 0, -1, -189
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, 0, 0, -6, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentProfileApiController.class", "Java", 0, 0, 0, -14, 0, 0, -14
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentViewController.class", "Java", 0, 0, 0, -7, 0, 0, -7
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherApiController.class", "Java", 0, 0, 0, -33, 0, 0, -33
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherAttendanceController.class", "Java", 0, 0, 0, -133, 0, -1, -134
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherController.class", "Java", 0, 0, 0, -9, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\AttendanceQRResponse.class", "Java", 0, 0, 0, -19, 0, 0, -19
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\GenerateAttendanceQRRequest.class", "Java", 0, 0, 0, -18, 0, 0, -18
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest$StudentAttendanceRecord.class", "Java", 0, 0, 0, -10, 0, 0, -10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest.class", "Java", 0, 0, 0, -13, 0, 0, -13
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\MarkAttendanceRequest.class", "Java", 0, 0, 0, -23, 0, 0, -23
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\MarkAttendanceResponse.class", "Java", 0, 0, 0, -30, 0, 0, -30
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginRequest.class", "Java", 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginResponse.class", "Java", 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\AssignTeacherRequest.class", "Java", 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ClassDTO.class", "Java", 0, 0, 0, -16, 0, 0, -16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CourseProgressDto.class", "Java", 0, 0, 0, -22, 0, 0, -22
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateSubjectRequest.class", "Java", 0, 0, 0, -19, 0, 0, -19
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateTaskRequest.class", "Java", 0, 0, 0, -10, 0, 0, -10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardDTO.class", "Java", 0, 0, 0, -18, 0, 0, -18
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class", "Java", 0, 0, 0, -16, 0, 0, -16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\EnrollStudentRequest.class", "Java", 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ScheduleClassRequest.class", "Java", 0, 0, 0, -11, 0, 0, -11
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\StudentProgressViewDto.class", "Java", 0, 0, 0, -10, 0, 0, -10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\SubjectDTO.class", "Java", 0, 0, 0, -16, 0, 0, -16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\TaskDto.class", "Java", 0, 0, 0, -14, 0, 0, -14
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class", "Java", 0, 0, 0, -17, 0, 0, -17
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\DigitalIDCardDTO.class", "Java", 0, 0, 0, -12, -4, 0, -16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\VerificationResponseDTO.class", "Java", 0, 0, 0, -16, 0, 0, -16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\AdminUpdateStudentProfileRequest.class", "Java", 0, 0, 0, -5, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\StudentProfileResponseDTO.class", "Java", 0, 0, 0, -4, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\dto\student\StudentProfileDTO.class", "Java", 0, 0, 0, -28, 0, 0, -28
"f:\Coding\studentmanagement\target\classes\com\sms\model\Admin.class", "Java", 0, 0, 0, -10, 0, 0, -10
"f:\Coding\studentmanagement\target\classes\com\sms\model\Attendance.class", "Java", 0, 0, 0, -47, 0, 0, -47
