"filename", "language", "XML", "Java", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\target\classes\com\sms\model\LoginUser.class", "Java", 0, 7, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\model\Student.class", "Java", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskItem.class", "Java", 0, 20, 0, 0, 0, 20
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskStatus.class", "Java", 0, 19, 0, 0, 0, 19
"f:\Coding\studentmanagement\target\classes\com\sms\model\Teacher.class", "Java", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\model\User.class", "Java", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\model\UserRole.class", "Java", 0, 19, 0, 0, 0, 19
"f:\Coding\studentmanagement\target\classes\com\sms\repository\ClassSessionRepository.class", "Java", 0, 4, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\CourseRepository.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\EnrollmentRepository.class", "Java", 0, 4, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\TaskItemRepository.class", "Java", 0, 5, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\service\AuthenticationService.class", "Java", 0, 18, 0, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\service\CustomUserDetailsService.class", "Java", 0, 24, 0, 0, 0, 24
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 143, 0, 0, 0, 143
"f:\Coding\studentmanagement\target\classes\com\sms\service\JwtService.class", "Java", 0, 29, 0, 0, 0, 29
"f:\Coding\studentmanagement\target\classes\model\LoginUser.class", "Java", 0, -7, 0, 0, 0, -7
"f:\Coding\studentmanagement\target\classes\model\UserRole.class", "Java", 0, -19, 0, 0, 0, -19
"f:\Coding\studentmanagement\target\classes\service\AuthenticationService.class", "Java", 0, -18, 0, 0, 0, -18
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.controller.DashboardControllerTest.xml", "XML", 187, 0, 0, 0, 2, 189
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.service.DashboardServiceTest.xml", "XML", 127, 0, 0, 0, 2, 129
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 0, 23, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\test-classes\com\sms\service\DashboardServiceTest.class", "Java", 0, 29, 0, 0, 0, 29
"Total", "-", 352, 1595, 26, 6, 305, 2284
